Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
205-54-2368,E,Toronto,Normal,Female,Home and lifestyle,28.48,1,1.42,29.9,21/05/2019,15:26,Ewallet,28.48,4.76,1.42,6.9
446-40-1369,E,Yangon,Member,Female,Home and lifestyle,35.73,5,8.93,187.58,25/01/2019,20:39,Cash,178.65,4.76,8.93,5.0
248-50-6736,G,Yangon,Member,Male,Home and lifestyle,89.82,6,26.95,565.87,12/03/2019,16:11,Credit card,538.92,4.76,26.95,5.5
741-28-7797,D,Naypyitaw,Member,Male,Home and lifestyle,67.16,9,30.22,634.66,13/03/2019,9:28,Cash,604.44,4.76,30.22,5.6
841-17-5277,B,Toronto,Normal,Male,Health and beauty,78.06,10,39.03,819.63,5/01/2019,15:56,Cash,780.6,4.76,39.03,5.3
163-11-5683,I,Tokyo,Normal,Male,Home and lifestyle,39.33,4,7.87,165.19,11/05/2019,15:50,Cash,157.32,4.76,7.87,8.4
660-74-7064,B,Singapore,Normal,Female,Home and lifestyle,51.37,9,23.12,485.45,22/07/2019,11:56,Credit card,462.33,4.76,23.12,8.4
986-30-8732,C,Madrid,Member,Male,Electronic accessories,65.81,3,9.87,207.3,16/01/2019,18:19,Ewallet,197.43,4.76,9.87,6.8
473-31-2373,H,Seoul,Member,Male,Sports and travel,37.54,7,13.14,275.92,4/03/2019,20:10,Credit card,262.78,4.76,13.14,6.7
784-69-9872,D,Bangkok,Member,Female,Fashion accessories,21.68,7,7.59,159.35,28/06/2019,19:40,Credit card,151.76,4.76,7.59,7.8
564-98-2760,F,Naypyitaw,Normal,Female,Health and beauty,75.83,1,3.79,79.62,2/05/2019,10:12,Cash,75.83,4.76,3.79,5.3
420-99-2460,J,Paris,Member,Female,Electronic accessories,34.75,2,3.48,72.98,15/02/2019,17:26,Ewallet,69.5,4.76,3.48,5.0
414-82-7206,G,New York,Normal,Male,Fashion accessories,22.42,1,1.12,23.54,9/07/2019,12:59,Cash,22.42,4.76,1.12,6.1
569-20-5090,G,Dubai,Member,Male,Electronic accessories,51.05,3,7.66,160.81,14/01/2019,12:32,Cash,153.15,4.76,7.66,5.5
124-52-3546,D,Bangkok,Member,Male,Health and beauty,76.7,4,15.34,322.14,15/02/2019,15:23,Credit card,306.8,4.76,15.34,6.6
946-72-1307,G,New York,Normal,Male,Sports and travel,89.63,9,40.33,847.0,5/09/2019,12:34,Ewallet,806.67,4.76,40.33,6.8
785-65-8385,D,Naypyitaw,Member,Male,Food and beverages,52.59,10,26.3,552.2,21/06/2019,20:59,Cash,525.9,4.76,26.3,9.8
724-40-4054,F,Chicago,Normal,Male,Food and beverages,87.61,5,21.9,459.95,2/02/2019,11:59,Cash,438.05,4.76,21.9,7.9
571-33-6296,E,Seoul,Member,Male,Health and beauty,53.55,5,13.39,281.14,17/03/2019,16:10,Ewallet,267.75,4.76,13.39,6.9
841-23-2125,E,Dubai,Member,Female,Fashion accessories,53.83,5,13.46,282.61,18/06/2019,10:33,Cash,269.15,4.76,13.46,9.2
429-63-8293,I,London,Normal,Male,Sports and travel,58.78,2,5.88,123.44,14/04/2019,10:17,Credit card,117.56,4.76,5.88,7.4
311-32-5852,I,Singapore,Member,Male,Home and lifestyle,57.23,2,5.72,120.18,2/05/2019,20:30,Credit card,114.46,4.76,5.72,5.7
373-39-2613,A,London,Normal,Male,Food and beverages,90.63,7,31.72,666.13,14/03/2019,9:37,Cash,634.41,4.76,31.72,5.6
528-21-3946,H,Tokyo,Normal,Male,Home and lifestyle,67.93,6,20.38,427.96,16/02/2019,20:13,Cash,407.58,4.76,20.38,9.7
933-53-2242,G,Chicago,Normal,Male,Health and beauty,31.78,10,15.89,333.69,26/06/2019,15:52,Ewallet,317.8,4.76,15.89,6.9
462-60-1305,D,Yangon,Normal,Male,Home and lifestyle,72.17,7,25.26,530.45,6/05/2019,9:53,Cash,505.19,4.76,25.26,6.1
913-67-2728,J,Madrid,Member,Female,Sports and travel,45.46,6,13.64,286.4,14/04/2019,16:21,Ewallet,272.76,4.76,13.64,6.0
685-57-1361,D,New York,Normal,Female,Sports and travel,42.87,6,12.86,270.08,25/06/2019,20:55,Ewallet,257.22,4.76,12.86,9.9
100-64-1995,I,London,Normal,Male,Sports and travel,28.52,6,8.56,179.68,5/03/2019,13:20,Ewallet,171.12,4.76,8.56,5.3
870-68-5273,A,Paris,Member,Female,Fashion accessories,43.79,4,8.76,183.92,7/09/2019,17:33,Credit card,175.16,4.76,8.76,9.0
143-79-7168,A,Chicago,Normal,Female,Sports and travel,82.09,10,41.05,861.95,5/03/2019,15:22,Credit card,820.9,4.76,41.05,8.0
461-52-4004,F,Seoul,Member,Male,Fashion accessories,35.63,9,16.03,336.7,11/04/2019,10:15,Ewallet,320.67,4.76,16.03,9.6
586-67-2351,D,Sydney,Member,Male,Electronic accessories,71.69,1,3.58,75.27,24/01/2019,9:41,Cash,71.69,4.76,3.58,5.8
519-26-4582,F,Chicago,Member,Male,Electronic accessories,29.72,4,5.94,124.82,5/03/2019,15:16,Cash,118.88,4.76,5.94,5.5
578-56-2251,B,Chicago,Member,Female,Fashion accessories,18.61,8,7.44,156.32,25/04/2019,16:22,Cash,148.88,4.76,7.44,6.9
530-44-6571,H,Kuala Lumpur,Member,Male,Food and beverages,59.34,2,5.93,124.61,26/03/2019,12:23,Credit card,118.68,4.76,5.93,6.6
314-46-2194,A,Madrid,Normal,Male,Sports and travel,28.91,1,1.45,30.36,7/01/2019,18:23,Credit card,28.91,4.76,1.45,9.1
697-30-4679,J,Naypyitaw,Normal,Male,Home and lifestyle,93.0,4,18.6,390.6,5/01/2019,9:32,Cash,372.0,4.76,18.6,5.8
126-29-8170,D,Singapore,Member,Male,Fashion accessories,74.8,8,29.92,628.32,11/02/2019,19:53,Ewallet,598.4,4.76,29.92,8.4
985-69-8498,A,Los Angeles,Member,Female,Health and beauty,75.77,5,18.94,397.79,4/04/2019,17:19,Ewallet,378.85,4.76,18.94,5.6
187-31-5800,E,Berlin,Normal,Female,Sports and travel,73.48,2,7.35,154.31,6/02/2019,12:48,Credit card,146.96,4.76,7.35,6.4
731-46-6415,J,London,Normal,Female,Home and lifestyle,26.69,3,4.0,84.07,20/06/2019,18:46,Credit card,80.07,4.76,4.0,9.2
605-70-8585,E,Bangkok,Member,Female,Home and lifestyle,61.14,10,30.57,641.97,20/07/2019,12:53,Ewallet,611.4,4.76,30.57,8.4
603-45-2123,J,London,Member,Female,Home and lifestyle,32.5,4,6.5,136.5,16/02/2019,12:17,Cash,130.0,4.76,6.5,9.8
277-11-7171,E,Sydney,Normal,Female,Health and beauty,49.23,10,24.61,516.91,1/03/2019,9:20,Credit card,492.3,4.76,24.61,7.5
949-36-5266,E,Bangkok,Member,Male,Health and beauty,31.84,6,9.55,200.59,19/02/2019,15:30,Ewallet,191.04,4.76,9.55,8.0
243-98-3358,F,Mexico City,Member,Male,Sports and travel,38.71,5,9.68,203.23,2/02/2019,19:16,Cash,193.55,4.76,9.68,7.4
